N° de ligne;CodeHier;CodeActe;Libellé;GestesComplémentaires;Modulateur;TypeLigne;Consigne de codage pour le PMSI;Action année N S: suppression/A : Ajout/M: Modification;Caractéristique modification à publier;Séance;Dédié;Non dédié;Collectif;Pluriprofessionnel;Appareillage avec étapes;Début de validité;Fin de validité;Pondération acte isolé - 2012-2018;Pondération étape A 2012-2018;Pondération étape B 2012-2018;Pondération étape C 2012-2018;Pondération + modulateur HW 2012-2018;Pondération + modulateur LJ 2012-2018;Pondération + modulateur QM2012-2018;Pondération + modulateur XH 2012-2018
2155;07.02.05;DKR+194;observation et analyse de l'entrainement et réajustement de l'intensité d'effort;;;N;;;;;;;;;;;;;;;;;;;
2156;07.02.05;PCM+283;Séance individuelle de renforcement musculaire contre résistance sans matériel;;"QM;ZV";L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";;Modulateur BN supprimé;oui;oui;possible;non;non;non;"Version 2012 ; 30/03/2012";;15;;;;;;23;
2157;07.02.05;PCM+283;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2158;07.02.05;PCM+283;échauffement cardiorespiratoire et musculaire corporel segmentaire ou total;;;N;;;;;;;;;;;;;;;;;;;
2159;07.02.05;PCM+283;exercices d'entretien musculaire sans matériel tels que : renforcement des muscles abdominaux, dorsaux, quadriceps, ventilation, étirements;;;N;;;;;;;;;;;;;;;;;;;
2160;07.02.05;PCM+283;sollicitation musculaire programmée standardisée en fonction des objectifs physiopathologiques, et individualisée : fraction de force maximale, vitesse d'exécution et amplitude, nombre de séries, nombre de répétitions de série, durée de récupération entre les séries;;;N;;;;;;;;;;;;;;;;;;;
2161;07.02.05;PCM+283;observation et analyse de l'entrainement, rappel des consignes de sécurité et correction des gestes;;;N;;;;;;;;;;;;;;;;;;;
2162;07.02.05;PCM+283;rappel des principes de : synchronisation de la respiration, postures d'étirements, gestion de l'effort;;;N;;;;;;;;;;;;;;;;;;;
2163;07.02.05;PCM+283;réajustement des charges de travail;;;N;;;;;;;;;;;;;;;;;;;
2164;07.02.05;PCM+283;retour à la situation de repos;;;N;;;;;;;;;;;;;;;;;;;
2165;07.02.05;PCM+262;Séance collective de renforcement musculaire contre résistance sans matériel;;QM;L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";;Modulateur BN supprimé;oui;non;non;oui;non;non;"Version 2012 ; 30/03/2012";;14;;;;;;15;
2166;07.02.05;PCM+262;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2167;07.02.05;PCM+262;échauffement cardiorespiratoire et musculaire corporel segmentaire ou total;;;N;;;;;;;;;;;;;;;;;;;
2168;07.02.05;PCM+262;exercices d'entretien musculaire sans matériel tels que : renforcement des muscles abdominaux, dorsaux, quadriceps, ventilation, étirements;;;N;;;;;;;;;;;;;;;;;;;
2169;07.02.05;PCM+262;sollicitation musculaire programmée standardisée en fonction des objectifs physiopathologiques, et individualisée : fraction de force maximale, vitesse d'exécution et amplitude, nombre de séries, nombre de répétitions de série, durée de récupération entre les séries;;;N;;;;;;;;;;;;;;;;;;;
2170;07.02.05;PCM+262;observation et analyse de l'entrainement, rappel des consignes de sécurité et correction des gestes;;;N;;;;;;;;;;;;;;;;;;;
2171;07.02.05;PCM+262;rappel des principes de : synchronisation de la respiration, postures d'étirements, gestion de l'effort;;;N;;;;;;;;;;;;;;;;;;;
2172;07.02.05;PCM+262;réajustement des charges de travail;;;N;;;;;;;;;;;;;;;;;;;
2173;07.02.05;PCM+262;retour à la situation de repos;;;N;;;;;;;;;;;;;;;;;;;
2174;07.02.05;PCM+064;Séance individuelle de renforcement musculaire contre résistance avec matériel [Circuit training musculaire individuel];;"QM;ZV";L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";;Modulateur BN supprimé;oui;oui;possible;non;non;non;"Version 2012 ; 30/03/2012";;26;;;;;;34;
2175;07.02.05;PCM+064;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2176;07.02.05;PCM+064;échauffement cardiorespiratoire et musculaire corporel segmentaire ou total;;;N;;;;;;;;;;;;;;;;;;;
2177;07.02.05;PCM+064;sollicitation musculaire programmée standardisée en fonction des objectifs physiopathologiques, et individualisée : fraction de force maximale, vitesse d'exécution et amplitude, nombre de séries, nombre de répétitions de série, durée de récupération entre les séries;;;N;;;;;;;;;;;;;;;;;;;
2178;07.02.05;PCM+064;observation et analyse de l'entrainement, rappel des consignes de sécurité et correction des gestes;;;N;;;;;;;;;;;;;;;;;;;
2179;07.02.05;PCM+064;rappel des principes de : synchronisation de la respiration, postures d'étirements, gestion de l'effort;;;N;;;;;;;;;;;;;;;;;;;
2180;07.02.05;PCM+064;réajustement des charges de travail;;;N;;;;;;;;;;;;;;;;;;;
2181;07.02.05;PCM+064;retour à la situation de repos;;;N;;;;;;;;;;;;;;;;;;;
2182;07.02.05;PCM+253;Séance collective de renforcement musculaire contre résistance avec matériel [Circuit training musculaire collectif];;QM;L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";;Modulateur BN supprimé;oui;non;non;oui;non;non;"Version 2012 ; 30/03/2012";;17;;;;;;18;
2183;07.02.05;PCM+253;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2184;07.02.05;PCM+253;échauffement cardiorespiratoire et musculaire corporel segmentaire ou total;;;N;;;;;;;;;;;;;;;;;;;
2185;07.02.05;PCM+253;sollicitation musculaire programmée standardisée en fonction des objectifs physiopathologiques, et individualisée : fraction de force maximale, vitesse d'exécution et amplitude, nombre de séries, nombre de répétitions de série durée de récupération entre les séries;;;N;;;;;;;;;;;;;;;;;;;
2186;07.02.05;PCM+253;observation et analyse de l'entrainement, rappel des consignes de sécurité et correction des gestes;;;N;;;;;;;;;;;;;;;;;;;
2187;07.02.05;PCM+253;rappel des principes de : synchronisation de la respiration, postures d'étirements, gestion de l'effort;;;N;;;;;;;;;;;;;;;;;;;
2188;07.02.05;PCM+253;réajustement des charges de travail;;;N;;;;;;;;;;;;;;;;;;;
2189;07.02.05;PCM+253;retour à la situation de repos;;;N;;;;;;;;;;;;;;;;;;;
2190;07.02.05;DKR+118;Séance individuelle de réentrainement à l'effort aérobie et de renforcement musculaire contre résistance [entrainement mixte individuel];;;L;Peut, au plus,  être codé une fois le matin et l'après-midi;;Modulateur BN supprimé;oui;oui;possible;non;non;non;"Version 2012 ; 30/03/2012";;45;;;;;;;
2191;07.02.05;DKR+118;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2192;07.02.05;DKR+118;échauffement cardiorespiratoire et musculaire;;;N;;;;;;;;;;;;;;;;;;;
2193;07.02.05;DKR+118;alternance d'ateliers de cardiotraining et de renforcement musculaire avec ou sans matériel;;;N;;;;;;;;;;;;;;;;;;;
2194;07.02.05;DKR+118;sollicitation musculaire programmée standardisée en fonction des objectifs physiopathologiques, et individualisée;;;N;;;;;;;;;;;;;;;;;;;
2195;07.02.05;DKR+118;observation et analyse de l'entrainement, rappel des consignes et correction des gestes;;;N;;;;;;;;;;;;;;;;;;;
2196;07.02.05;DKR+118;réajustement de l'intensité de l'effort et des charges de travail;;;N;;;;;;;;;;;;;;;;;;;
2197;07.02.05;DKR+013;Séance collective de réentrainement à l'effort aérobie et de renforcement musculaire contre résistance [entrainement mixte collectif];;;L;Peut, au plus,  être codé une fois le matin et l'après-midi;;Modulateur BN supprimé;oui;non;non;oui;non;non;"Version 2012 ; 30/03/2012";;17;;;;;;;
2198;07.02.05;DKR+013;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2199;07.02.05;DKR+013;échauffement cardiorespiratoire et musculaire;;;N;;;;;;;;;;;;;;;;;;;
2200;07.02.05;DKR+013;alternance d'ateliers de cardiotraining et de renforcement musculaire avec ou sans matériel;;;N;;;;;;;;;;;;;;;;;;;
2201;07.02.05;DKR+013;sollicitation musculaire programmée standardisée en fonction des objectifs physiopathologiques, et individualisée;;;N;;;;;;;;;;;;;;;;;;;
2202;07.02.05;DKR+013;observation et analyse de l'entrainement, rappel des consignes et correction des gestes;;;N;;;;;;;;;;;;;;;;;;;
2203;07.02.05;DKR+013;réajustement de l'intensité de l'effort et des charges de travail;;;N;;;;;;;;;;;;;;;;;;;
2204;07.02.05;PCR+004;Séance individuelle de réentrainement à l'effort avec matériel de sport;;"TF;RW;HW;LJ";L;Peut, au plus,  être codé une fois le matin et l'après-midi;;Modulateur BN supprimé;oui;oui;possible;non;non;non;"Version 2012 ; 30/03/2012";;15;;;;35;35;;
2205;07.02.05;PCR+004;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2206;07.02.05;PCR+004;échauffement cardiorespiratoire et musculaire;;;N;;;;;;;;;;;;;;;;;;;
2207;07.02.05;PCR+004;sollicitation métabolique programmée standardisée en fonction des objectifs physiopathologique, et individualisée : séance à charge constante puis croissante, durée d'exercice, durée de récupération entre les séries;;;N;;;;;;;;;;;;;;;;;;;
2208;07.02.05;PCR+004;observation et analyse de l'entrainement et réajustement de l'intensité d'effort;;;N;;;;;;;;;;;;;;;;;;;
2209;07.02.05;PCR+272;Séance collective de réentrainement à l'effort avec matériel de sport;;"TF;RW;HW;LJ";L;Peut, au plus,  être codé une fois le matin et l'après-midi;;Modulateur BN supprimé;oui;non;non;oui;non;non;"Version 2012 ; 30/03/2012";;14;;;;19;19;;
2210;07.02.05;PCR+272;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2211;07.02.05;PCR+272;échauffement cardiorespiratoire et musculaire;;;N;;;;;;;;;;;;;;;;;;;
2212;07.02.05;PCR+272;sollicitation métabolique programmée standardisée en fonction des objectifs physiopathologique, et individualisée : séance à charge constante puis croissante, durée d'exercice, durée de récupération entre les séries;;;N;;;;;;;;;;;;;;;;;;;
2213;07.02.05;PCR+272;observation et analyse de l'entrainement et réajustement de l'intensité d'effort;;;N;;;;;;;;;;;;;;;;;;;
2214;07.02.05;;;;;LV;;;;;;;;;;;;;;;;;;;
2215;07.02.06;;Autres actes de prise en charge à visée thérapeutique des troubles des fonctions de l'appareil locomoteur et liées au mouvement;;;T;;;;;;;;;;;;;;;;;;;
2216;07.02.06;;;;;LV;;;;;;;;;;;;;;;;;;;
2217;07.02.06;;;;;LV;;;;;;;;;;;;;;;;;;;
2218;07.02.06;PZL+212;Mise en place de dispositif générateur d'agent physique à visée thérapeutique;;;L;;M;Modulateur BN supprimé ;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;7;;;;;;;
2219;07.02.06;PZL+212;Codage : cet acte ne peut être codé que s'il est réalisé isolément;;;N;;;;;;;;;;;;;;;;;;;
2220;07.02.06;PZL+212;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2221;07.02.06;PZL+212;mise en place d'appareil de physiothérapie, à rayonnement infrarouge, d'électrothérapie;;;N;;;;;;;;;;;;;;;;;;;
2222;07.02.06;PZL+212;réglage des paramètres et vérification des critères de sûreté;;;N;;;;;;;;;;;;;;;;;;;
2223;07.02.06;PZL+212;application sans présence du personnel soignant;;;N;;;;;;;;;;;;;;;;;;;
2224;07.02.06;PZL+208;Séance d'application d'agent physique à visée thérapeutique;;ZV;L;Peut, au plus,  être codé une fois le matin et l'après-midi;M;Modulateur BN supprimé;oui;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;17;;;;;;;
2225;07.02.06;PZL+208;Codage : cet acte ne peut être codé que s'il est réalisé isolément;;;N;;;;;;;;;;;;;;;;;;;
2226;07.02.06;PZL+208;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2227;07.02.06;PZL+208;application, en présence du personnel soignant, d'agent physique tel que : physiothérapie par ultrasons,électrothérapie excitomotrice ou à visée antalgique, cryothérapie gazeuse, bain écossais;;;N;;;;;;;;;;;;;;;;;;;
2228;07.02.06;PZL+208;installation de l'appareil, réglage des paramètres et vérification des critères de sûreté;;;N;;;;;;;;;;;;;;;;;;;
2229;07.02.06;PZE+057;Séance de massage;;"ZV;QM";L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";M;Modulateur BN supprimé;oui;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;11;;;;;;11;
2230;07.02.06;PZE+057;Codage : cet acte ne peut être codé que s'il est réalisé isolément;;;N;;;;;;;;;;;;;;;;;;;
2231;07.02.06;PZE+057;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2232;07.02.06;PZE+057;mobilisation méthodique des tissus superficiels et profonds par manœuvres manuelles externes à visée circulatoire, décontracturante, antalgique ou relaxante, réalisant une stimulation, mécanique ou réflexe des tissus dans un but thérapeutique;;;N;;;;;;;;;;;;;;;;;;;
2233;07.02.06;PZE+057;"massage au jet ; massage instrumental";;;N;;;;;;;;;;;;;;;;;;;
2234;07.02.06;PBR+256;Séance de mobilisation articulaire passive;;"ZV;QM";L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";M;"Rédaction modifiée, suppression de l'adjectif ""individuel"" ; modulateur BN supprimé";oui;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;11;;;;;;11;
2235;07.02.06;PBR+256;Codage : cet acte ne peut être codé que s'il est réalisé isolément;;;N;;;;;;;;;;;;;;;;;;;
2236;07.02.06;PBR+256;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2237;07.02.06;PBR+256;étirement des muscles spastiques ou contractés;;;N;;;;;;;;;;;;;;;;;;;
2238;07.02.06;PBR+256;régulation du tonus;;;N;;;;;;;;;;;;;;;;;;;
2239;07.02.06;PBR+256;mobilisation articulaire d'entretien manuelle ou mécanique et pour gain d'amplitude;;;N;;;;;;;;;;;;;;;;;;;
2240;07.02.06;PBR+256;Avec ou sans : pose de contention souple;;;N;;;;;;;;;;;;;;;;;;;
2241;07.02.06;PEB+196;Séance de posture articulaire;;;L;Peut, au plus,  être codé une fois le matin et l'après-midi;M;Modulateur BN supprimé;oui;oui;non;non;non;non;Version 2017;;11;;;;;;;
2242;07.02.06;PEB+196;Codage : cet acte ne peut être codé que s'il est réalisé isolément;;;N;;;;;;;;;;;;;;;;;;;
2243;07.02.06;ZFR+111;Séance de rééducation pour état séquellaire ou stabilisé;;"EZ;ZV;QM";L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";M;Modulateur BN supprimé;oui;oui;possible;non;non;non;"Version 2012 ; 30/03/2012";;30;;;;;;30;
2244;07.02.06;ZFR+111;Séance de rééducation à visée palliative;;;N;;;;;;;;;;;;;;;;;;;
2245;07.02.06;ZFR+111;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2246;07.02.06;ZFR+111;surveillance de la ventilation;;;N;;;;;;;;;;;;;;;;;;;
2247;07.02.06;ZFR+111;massage;;;N;;;;;;;;;;;;;;;;;;;
2248;07.02.06;ZFR+111;mobilisation articulaire passive ou activopassive;;;N;;;;;;;;;;;;;;;;;;;
2249;07.02.06;ZFR+111;entretien musculaire des membres;;;N;;;;;;;;;;;;;;;;;;;
2250;07.02.06;ZFR+111;gestion de la douleur;;;N;;;;;;;;;;;;;;;;;;;
2251;07.02.06;ZFR+111;installation de confort et prévention de l'enraidissement;;;N;;;;;;;;;;;;;;;;;;;
2252;07.02.06;ZFR+111;maintien de l'autonomie pour les actes de la vie quotidienne;;;N;;;;;;;;;;;;;;;;;;;
2253;07.02.06;ZFR+111;éducation du patient et/ou de son entourage pour prévention des complications;;;N;;;;;;;;;;;;;;;;;;;
2254;07.02.06;PER+163;Séance d'apprentissage individuel de l'optimisation énergétique des gestes quotidiens;;"EZ;TF;RW;HW;LJ";L;Peut, au plus,  être codé une fois le matin et l'après-midi;;Modulateur BN supprimé;oui;oui;possible;non;non;non;"Version 2012 ; 30/03/2012";;17;;;;37;37;;
2255;07.02.06;PER+163;Codage : cet acte ne peut être codé que s'il est réalisé isolément;;;N;;;;;;;;;;;;;;;;;;;
2256;07.02.06;PER+163;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2257;07.02.06;PER+163;détermination des activités physiques source de dyspnée;;;N;;;;;;;;;;;;;;;;;;;
2258;07.02.06;PER+163;apprentissage des positions de départ économiques et du rythme des changements de position et gestes;;;N;;;;;;;;;;;;;;;;;;;
2259;07.02.06;PER+163;mise en application de la ventilation dirigée au cours des changements de position et gestes;;;N;;;;;;;;;;;;;;;;;;;
2260;07.02.06;PER+233;Séance d'apprentissage collectif de l'optimisation énergétique des gestes quotidiens;;"EZ;TF;RW;HW;LJ";L;Peut, au plus,  être codé une fois le matin et l'après-midi;;Modulateur BN supprimé;oui;non;non;oui;non;non;"Version 2012 ; 30/03/2012";;10;;;;15;15;;
2261;07.02.06;PER+233;Codage : cet acte ne peut être codé que s'il est réalisé isolément;;;N;;;;;;;;;;;;;;;;;;;
2262;07.02.06;PER+233;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2263;07.02.06;PER+233;détermination des activités physiques source de dyspnée;;;N;;;;;;;;;;;;;;;;;;;
2264;07.02.06;PER+233;apprentissage des positions de départ économiques et du rythme des changements de position et gestes;;;N;;;;;;;;;;;;;;;;;;;
2265;07.02.06;PER+233;mise en application de la ventilation dirigée au cours des changements de position et gestes;;;N;;;;;;;;;;;;;;;;;;;
2266;07.02.06;PER+096;Séance d'apprentissage des transferts;;;L;Peut, au plus,  être codé une fois le matin et l'après-midi;M;Modulateur BN supprimé;oui;oui;possible;non;non;non;"Version 2012 ; 30/03/2012";;9;;;;;;;
2267;07.02.06;PER+096;Codage : cet acte ne peut être codé que s'il est réalisé isolément;;;N;;;;;;;;;;;;;;;;;;;
2268;07.02.06;PER+096;À l'exclusion de :;;;N;;;;;;;;;;;;;;;;;;;
2269;07.02.06;PER+096;séance d'apprentissage des transferts en situation d'activité physique et/ou sportive (PER+253);;;N;;;;;;;;;;;;;;;;;;;
2270;07.02.06;PER+096;Apprentissage du patient et/ou de son entourage à la réalisation d'un autosoin en dehors d'un programme d'éducation thérapeutique (ZZR+063);;;N;;;;;;;;;;;;;;;;;;;
2271;07.02.06;PER+096;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2272;07.02.06;PER+096;renforcement musculaire;;;N;;;;;;;;;;;;;;;;;;;
2273;07.02.06;PER+096;apprentissage des différentes étapes du transfert : qualité, sécurité;;;N;;;;;;;;;;;;;;;;;;;
2274;07.02.06;PER+096;apprentissage des transferts pour les activités de la vie quotidienne et pour l'automobile;;;N;;;;;;;;;;;;;;;;;;;
2275;07.02.06;PER+253;Séance d'apprentissage des transferts en situation d'activité physique et/ou sportive;;;L;Peut, au plus,  être codé une fois le matin et l'après-midi;M;Modulateur BN supprimé;oui;oui;possible;non;non;non;"Version 2012 ; 30/03/2012";;9;;;;;;;
2276;07.02.06;PER+253;Codage : cet acte ne peut être codé que s'il est réalisé isolément;;;N;;;;;;;;;;;;;;;;;;;
2277;07.02.06;PER+253;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2278;07.02.06;PER+253;apprentissage des transferts du fauteuil roulant manuel ou électrique vers tout type d'installation ou de matériel de sport;;;N;;;;;;;;;;;;;;;;;;;
2279;07.02.06;;;;;LV;;;;;;;;;;;;;;;;;;;
2280;08;;FONCTIONS DE LA PEAU ET DES PHANÈRES;;;T;;;;;;;;;;;;;;;;;;;
2281;08;;;;;LV;;;;;;;;;;;;;;;;;;;
2282;08;;;;;LV;;;;;;;;;;;;;;;;;;;
2283;08.01;;Actes d'évaluation à visée de diagnostic et de synthèse des troubles des fonctions de la peau;;;T;;;;;;;;;;;;;;;;;;;
2284;08.01;;;;;LV;;;;;;;;;;;;;;;;;;;
2285;08.01;QZQ+255;Évaluation initiale qualitative et quantitative de l'état cutané et trophique en dehors de la tête et des mains;;"ZV;ME";L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;23;;;;;;;
2286;08.01;QZQ+255;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2287;08.01;QZQ+255;en statique, évaluation de l'état trophique de la zone lésée :;;;N;;;;;;;;;;;;;;;;;;;
2288;08.01;QZQ+255;cartographie et nature des lésions cutanées, des zones greffées et des zones prélevées;;;N2;;;;;;;;;;;;;;;;;;;
2289;08.01;QZQ+255;description du stade de l'évolution cicatricielle;;;N2;;;;;;;;;;;;;;;;;;;
2290;08.01;QZQ+255;cartographie des zones cicatricielles évoluant vers l'hypertrophie;;;N2;;;;;;;;;;;;;;;;;;;
2291;08.01;QZQ+255;description de l'état des phanères;;;N2;;;;;;;;;;;;;;;;;;;
2292;08.01;QZQ+255;quantification de l'œdème;;;N2;;;;;;;;;;;;;;;;;;;
2293;08.01;QZQ+255;en dynamique, évaluation de l'état trophique de la zone lésée :;;;N;;;;;;;;;;;;;;;;;;;
2294;08.01;QZQ+255;cartographie des rétractions cutanées dans les mouvements d'amplitude maximale;;;N2;;;;;;;;;;;;;;;;;;;
2295;08.01;QZQ+255;description des conséquences fonctionnelles;;;N2;;;;;;;;;;;;;;;;;;;
2296;08.01;QZQ+104;Évaluation intermédiaire qualitative et quantitative de l'état cutané et trophique en dehors de la tête et des mains;;"ZV;ME";L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;16;;;;;;;
2297;08.01;QZQ+104;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2298;08.01;QZQ+104;évaluation focalisée permettant d'apprécier l'évolution cicatricielle et d'ajuster le programme de prise en charge;;;N;;;;;;;;;;;;;;;;;;;
2299;08.01;QZQ+186;Évaluation finale qualitative et quantitative de l'état cutané et trophique en dehors de la tête et des mains;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;39;;;;;;;
2300;08.01;QZQ+186;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2301;08.01;QZQ+186;évaluation de l'état cutané et trophique à la fin de la prise en charge ou à la sortie, pour orientation;;;N;;;;;;;;;;;;;;;;;;;
2302;08.01;QAQ+198;Évaluation initiale qualitative et quantitative de l'état cutané et trophique de la tête et/ou de main;;"ZV;ME";L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;23;;;;;;;
2303;08.01;QAQ+198;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2304;08.01;QAQ+198;en statique, évaluation de l'état trophique de la zone lésée :;;;N;;;;;;;;;;;;;;;;;;;
2305;08.01;QAQ+198;cartographie et nature des lésions cutanées, des zones greffées et des zones prélevées;;;N2;;;;;;;;;;;;;;;;;;;
2306;08.01;QAQ+198;description du stade de l'évolution cicatricielle;;;N2;;;;;;;;;;;;;;;;;;;
2307;08.01;QAQ+198;cartographie des zones cicatricielles évoluant vers l'hypertrophie;;;N2;;;;;;;;;;;;;;;;;;;
2308;08.01;QAQ+198;description de l'état des phanères;;;N2;;;;;;;;;;;;;;;;;;;
2309;08.01;QAQ+198;quantification de l'œdème;;;N2;;;;;;;;;;;;;;;;;;;
2310;08.01;QAQ+198;en dynamique, évaluation de l'état trophique de la zone lésée :;;;N;;;;;;;;;;;;;;;;;;;
2311;08.01;QAQ+198;cartographie des rétractions cutanées dans les mouvements d'amplitude maximale;;;N2;;;;;;;;;;;;;;;;;;;
2312;08.01;QAQ+198;description des conséquences fonctionnelles;;;N2;;;;;;;;;;;;;;;;;;;
2313;08.01;QAQ+093;Évaluation intermédiaire qualitative et quantitative de l'état cutané et trophique de la tête et/ou de main;;"ZV;ME";L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;16;;;;;;;
2314;08.01;QAQ+093;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2315;08.01;QAQ+093;évaluation focalisée permettant d'apprécier l'évolution cicatricielle et d'ajuster le programme de prise en charge;;;N;;;;;;;;;;;;;;;;;;;
2316;08.01;QAQ+067;Évaluation finale qualitative et quantitative de l'état cutané et trophique de la tête et/ou de main;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;39;;;;;;;
2317;08.01;QAQ+067;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2318;08.01;QAQ+067;évaluation de l'état cutané et trophique à la fin de la prise en charge ou à la sortie, pour orientation;;;N;;;;;;;;;;;;;;;;;;;
2319;08.01;;;;;LV;;;;;;;;;;;;;;;;;;;
2320;08.02;;Actes de prise en charge à visée thérapeutique des troubles des fonctions de la peau et des phanères;;;T;;;;;;;;;;;;;;;;;;;
2321;08.02;;;;;LV;;;;;;;;;;;;;;;;;;;
2322;08.02;QAE+213;Séance de posture d'étirement et/ou de compression cutané de la tête ou du cou;;"EZ;ZV;ME;QM";L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";M;Modulateur BN supprimé;oui;oui;possible;non;non;non;"Version 2012 ; 30/03/2012";;29;;;;;;55;
2323;08.02;QAE+213;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2324;08.02;QAE+213;installation des zones cicatricielles en étirement cutané maximal;;;N;;;;;;;;;;;;;;;;;;;
2325;08.02;QAE+213;ajustement de la posture en fonction de la tolérance;;;N;;;;;;;;;;;;;;;;;;;
2326;08.02;QAE+213;apprentissage de l'autoréalisation de posture;;;N;;;;;;;;;;;;;;;;;;;
2327;08.02;ZBE+110;Séance de posture d'étirement et/ou de compression cutané du tronc;;"EZ;ZV;ME;QM";L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";M;Modulateur BN supprimé;oui;oui;possible;non;non;non;"Version 2012 ; 30/03/2012";;24;;;;;;46;
2328;08.02;ZBE+110;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2329;08.02;ZBE+110;installation des zones cicatricielles en étirement cutané maximal;;;N;;;;;;;;;;;;;;;;;;;
2330;08.02;ZBE+110;ajustement de la posture en fonction de la tolérance;;;N;;;;;;;;;;;;;;;;;;;
2331;08.02;ZBE+110;apprentissage de l'autoréalisation de posture;;;N;;;;;;;;;;;;;;;;;;;
2332;08.02;QCE+001;Séance de posture d'étirement et/ou de compression cutané du membre supérieur en dehors de la main ;;"EZ;ZV;ME;QM";L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";M;Modulateur BN supprimé;oui;oui;non;non;non;non;Version 2017;;24;;;;;;46;
2333;08.02;QCE+001;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
2334;08.02;QCE+001;installation des zones cicatricielles en étirement cutané maximal;;;N;;;;;;;;;;;;;;;;;;;
2335;08.02;QCE+001;ajustement de la posture en fonction de la tolérance;;;N;;;;;;;;;;;;;;;;;;;
2336;08.02;QCE+001;apprentissage de l'autoréalisation de posture;;;N;;;;;;;;;;;;;;;;;;;
